created_at,username,text,likes,retweets,hashtags
Wed Nov 13 03:37:45 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @vivicanosaok @canal9oficial 📺 ""El plan contra el hambre no es de Alberto Fernández, es de todos los argentin…",0,305,[]
Wed Nov 13 03:36:41 +0000 2019,alferdez,"RT @alferdezprensa: @alferdez @vivicanosaok @canal9oficial 📺""Ser peronista es ocuparse de los que están desprotegidos, de los que no tienen…",0,476,[]
Wed Nov 13 02:06:21 +0000 2019,alferdez,"Solo para no dejar pasar una noticia falsa. Nunca fuimos consultados por semejante tema. Por lo tanto, muy lejos estamos de avalarlo. Ya es hora de dejar de desinformar. Lo digo por el bien de todos  https://t.co/UBpbWor4LB",26760,11819,[]
Tue Nov 12 23:47:28 +0000 2019,alferdez,"Recibí al presidente ejecutivo de FONPLATA - Banco de Desarrollo, Juan Notaro, y otros representantes de la entidad, que hoy invierte U$S 600 millones en 24 proyectos en desarrollo y ampliará esa inversión en U$S 1.000 millones más. Les agradezco por el respaldo a la Argentina. https://t.co/vfxGY9rVCM",4461,1194,[]
Mon Nov 11 21:33:43 +0000 2019,alferdez,"EN VIVO | Presentación del libro ""Política y elecciones en América Latina"" https://t.co/gsAyR3buea",2904,1030,[]
Mon Nov 11 20:25:50 +0000 2019,alferdez,"Sacar a un presidente con acciones que no están dentro del marco de las reglas de la democracia no puede llamarse de otra forma que golpe de Estado.  Celebro que la UCR, con sus años de tradición republicana, así lo entienda. https://t.co/2xpePFQJf7",32319,8387,[]
Mon Nov 11 13:11:06 +0000 2019,alferdez,Me tranquiliza ver que en el oficialismo hay gente con la dignidad democrática de la que otros carecen. https://t.co/ugrd97dyhE,36356,6066,[]
Sun Nov 10 23:44:36 +0000 2019,alferdez,Felicitaciones al nuevo gobernador de Salta @GustavoSaenzOK. Espero que podamos trabajar juntos para poner de pie nuestra querida Argentina.,5414,773,[]
Sun Nov 10 23:05:05 +0000 2019,alferdez,Espero que las actuales autoridades actúen bajo ese mismo principio preservando la integridad física de quienes puedan resultar perseguidos por el golpismo y colaboren hasta el 10 de diciembre con la recuperación de la democracia en Bolivia.,12908,4391,[]
Sun Nov 10 23:05:04 +0000 2019,alferdez,El compromiso de la Argentina con la institucionalidad y contra cualquier forma de golpe de Estado en el continente debe ser total.,13802,4589,[]
Sun Nov 10 23:05:04 +0000 2019,alferdez,"Defenderemos firmemente la democracia en toda América Latina. Después de este quiebre institucional, Bolivia debe volver cuanto antes al sendero de la democracia a través del voto popular y sin proscripciones.",10094,3685,[]
Sun Nov 10 23:05:03 +0000 2019,alferdez,"El quiebre institucional en Bolivia es inaceptable. El pueblo boliviano debe escoger cuanto antes, en elecciones libres e informadas, a su próximo gobierno.",9199,3150,[]
Sun Nov 10 23:05:02 +0000 2019,alferdez,"Nosotros, defensores de la institucionalidad democrática, repudiamos la violencia desatada que impidió a @evoespueblo concluir su mandato presidencial y alteró el curso del proceso electoral.",11920,4318,[]
Sun Nov 10 23:05:00 +0000 2019,alferdez,"En Bolivia se ha consumado un golpe de Estado producto del accionar conjunto de civiles violentos, el personal policial autoacuartelado y la pasividad del ejército. Es un golpe perpetrado contra el presidente @evoespueblo, que había convocado a un nuevo proceso electoral.",65580,27290,[]
Sun Nov 10 00:26:48 +0000 2019,alferdez,RT @maximilianoreyz: A propósito de los nuevos tiempos en América Latina y de la extraordinaria e histórica convocatoria del @ProgresaLatam…,0,210,[]
Sat Nov 09 22:58:37 +0000 2019,alferdez,"Cuando visité a @LulaOficial en la cárcel, me dijo: “Tenés que ganar la elección en Argentina”. Y cumplimos.  Vamos a poner de pie a la Argentina y, junto al #GrupoDePuebla, a toda América Latina. https://t.co/s0yvR1iyZF",25477,6707,[Hashtag(Text='GrupoDePuebla')]
Sat Nov 09 16:27:57 +0000 2019,alferdez,Mi total respaldo al presidente @evoespueblo ante este intento de interrumpir el orden constitucional en Bolivia.  Los países de la región y la comunidad internacional toda debemos seguir de cerca la situación y actuar ante cualquier hecho que implique un quiebre institucional. https://t.co/8tqI0c7mRf,35068,14175,[]
Sat Nov 09 15:54:29 +0000 2019,alferdez,El #GrupoDePuebla va a ser la voz que se levante ante el mundo para contar lo que pasa en América Latina.  Quiero agradecerles a todos los hombres y mujeres que van a participar de este II Encuentro. Espero que sean muchos más. https://t.co/JkXENi2E1g,10641,3318,[Hashtag(Text='GrupoDePuebla')]
Sat Nov 09 12:29:59 +0000 2019,alferdez,EN VIVO | Apertura del II Encuentro del Grupo de Puebla. https://t.co/rctoBd6VZx,4961,1765,[]
Fri Nov 08 22:20:04 +0000 2019,alferdez,Los trabajadores son la piedra angular de la sociedad. Por eso celebro la unidad que ha alcanzado la CGT.  Gracias a los compañeros y las compañeras por haberme invitado hoy. Para poder salir adelante y poner a la Argentina de pie es necesario que todos trabajemos juntos. https://t.co/yhAbDctZoa,6385,1397,[]
Fri Nov 08 21:15:10 +0000 2019,alferdez,Conmueve la fortaleza de @LulaOficial para afrontar esta persecución (solo esa definición le cabe al proceso judicial arbitrario al que fue sometido). Su entereza demuestra no solo el compromiso sino la inmensidad de ese hombre.   ¡Viva #LulaLivre! https://t.co/Y8hKAiJvWe,74141,18518,[Hashtag(Text='LulaLivre')]
Fri Nov 08 01:06:53 +0000 2019,alferdez,El Supremo Tribunal Federal de Brasil ha decidido que las condenas a prisión solo son ejecutables una vez que hayan quedado firmes.  Es lo mismo que venimos reclamando en Argentina desde hace años.   ¡Valió la pena la demanda de tantos!  ¡#LulaLivreAmanhã! https://t.co/vVEx0SC3LM,55283,14780,[Hashtag(Text='LulaLivreAmanhã')]
Fri Nov 08 00:32:29 +0000 2019,alferdez,RT @Navegaciones: La entrevista de @alferdez con @MashiRafael. Imperdible.  https://t.co/se4qb2fvbf,0,369,[]
